ba_score,beer_number,comment,date,feel,look,overall,rdev,smell,taste,username
3.25,93805,,"Nov 15, 2015",3.25,3.25,3.25,-3.8%,3.25,3.25,pjvie
4.96,125693,,"Apr 25, 2016",5,4.25,5,,5,5,Metal_N_Brew
3.59,93805,,"Sep 25, 2015",3.75,3.75,3.75,,3.5,3.5,BlueSpader
4.5,93805,,"Sep 12, 2015",4.5,4.5,4.5,,4.5,4.5,cantak
3.52,93805,,"Sep 02, 2015",3.25,3.5,3.5,,3.25,3.75,Salemjeff
3.12,93805,,"Sep 01, 2015",3,3,3,-7.7%,3.5,3,gspeer711
3.96,189764,,"Sep 10, 2015",,,,,,,Fargrow
4.28,338482,,"May 22, 2018",4.25,4.5,4,,4.5,4.25,brew-Ed
4.02,301400,,"Sep 06, 2017",,,,,,,Texasfan549
3.86,308844,,"Nov 04, 2017",4,4.25,4,-1%,3.75,3.75,Texasfan549
3.9,308844,,"Oct 31, 2017",4,4,4,,4,3.75,kjkinsey
4.5,297885,,"Jan 20, 2018",4.5,4.5,4.5,,4.5,4.5,brew-Ed
4.58,297885,,"Jan 18, 2018",4.25,3.75,4.75,,4.5,4.75,jngrizzaffi
2.21,125693,,"Mar 06, 2016",2.5,2,2.5,-24.1%,1,2.75,Patrickd
2.12,125693,,"Jan 25, 2016",2,2,2,-27.1%,2.5,2,RGT77
2.48,125693,,"Jan 08, 2016",1.25,4.5,2.5,-14.8%,3.25,2,MattSlem
3,125693,,"Dec 21, 2015",3,3,3,,3,3,sharpski
3,167395,,"Jan 23, 2018",3,3,3,-17.6%,3,3,jcb7472
3.5,167395,,"Jan 20, 2018",3.5,3.5,3.5,-3.8%,3.5,3.5,brew-Ed
2.4,93805,"Look: no head. Crystal clear pale yellow in color. No lacing.<br>
<br>
Smell: Like Sprite. Lemon and lime.<br>
<br>
Taste: Far to much residual sugar. Hardly any tartness shines through from the Berliner Weisse base. Flavor profile reminds me very much of Shock Top Lemon Shandy. Suprisingly zesty. Sickly sweet bready  malt. Finish leaves lingering residual sugar. <br>
<br>
Feel: Crisp, light body. Good carbonation.<br>
<br>
Overall: Ordered this at a bar because it was there and I hadn't tried it before. Not my cup of tea. Fruit beers can be good from time to time but this is just way to sweet.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">569 characters</span><br><br>","Aug 28, 2015",3,3.25,2.5,-29%,2.5,2,Dikfour
3.65,93805,,"Aug 21, 2015",3.5,4,3.5,,4,3.5,aasher
3.85,338482,,"Apr 26, 2018",4,4,3.75,-3.3%,4,3.75,Texasfan549
3.81,338482,,"Apr 14, 2018",4,4.25,3.75,-4.3%,3.75,3.75,Gagnonsux
4.08,291421,"Brewed with Java Pura Roasters<br>
<br>
A:  Very dark brown with thin head outlining the glass<br>
S:  Cinnamon, lactose sweetness, licorice, fruity cacao nibs and coffee<br>
T:  Cinnamon, sweet lactose, fruity coffee, light roast, hint of pepper on finish, cocoa<br>
M:  Medium<br>
O:  I think this was aged and the coffee may have faded.  Very good integration of the adjuncts<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">354 characters</span><br><br>","May 03, 2018",3.75,4,4,-5.3%,4,4.25,Rimbimhoot
3.93,308844,,"Oct 25, 2017",4,3.75,4,,3.75,4,Gagnonsux
4.02,220970,,"Feb 16, 2018",4,4.25,4,-7.2%,4,4,ilikebeer03
4.5,220970,,"Jul 02, 2017",4.5,4.5,4.5,,4.5,4.5,kjkinsey
3.75,297885,,"Dec 21, 2017",3.75,3.75,3.75,-5.1%,3.75,3.75,rspauldi
3.91,297885,,"Nov 27, 2017",3.75,3.75,3.75,-1%,4,4,FrostyFlower
2.75,125693,,"Sep 26, 2015",3,3,2.75,-5.5%,3,2.5,OregonGrown7
3.5,167395,,"Oct 21, 2017",3.5,3.5,3.5,-3.8%,3.5,3.5,Musineer
3.53,93805,,"Aug 17, 2015",3.5,4,3.5,,3.5,3.5,largadeer
3.19,93805,,"Aug 17, 2015",2.75,4,3.25,-5.6%,3,3.25,westcoastbeerlvr
4,291421,,"Apr 27, 2018",4,4,4,-7.2%,4,4,ilikebeer03
4.5,291421,,"Jan 20, 2018",4.5,4.5,4.5,,4.5,4.5,brew-Ed
4.56,291421,,"Nov 16, 2017",4.75,4.25,4.75,,4.5,4.5,fooziex
4.21,220970,,"Mar 31, 2017",4,4,4.25,-2.8%,4.25,4.25,Gagnonsux
4.5,220970,,"Mar 27, 2016",4.5,4.5,4.5,,4.5,4.5,Dicers
4.42,220970,,"Mar 27, 2016",4,4,4.5,,4.5,4.5,Texasfan549
3.65,297885,,"Oct 28, 2017",3.75,3.75,3.75,-7.6%,3.75,3.5,user785335
4,297885,,"Oct 03, 2017",4,4,4,,4,4,Pens1967
3.42,297885,,"Oct 03, 2017",3.25,3.5,3.5,-13.4%,3.25,3.5,jeschaefer
3.54,297885,"A:  Pours with a touch of chill haze at first.  A two finger white head forms and recedes quickly.  Some lace is left behind.<br>
S:  That ubiquitous all encompassing ""fruity"" aroma.  That is slightly generic, but not inoffensive in any way.  Kind of like a mix of stone and tropical fruits, but nothing individual can be picked out.  A touch of bitterness in the finish.  Enjoyable, if indistinguishable for the most part.<br>
T:  Like the nose, an all encompassing ""fruity"" flavor that is some kind of stone and tropical fruit.  A touch of grainy flavors with a light lingering bitterness.<br>
M/O:  A medium body with moderate carbonation.  Fairly crisp and clean with a nice dry finish.  I have had several, and it is always enjoyable if not particularly memorable.  <br>
<br>
This review has been kind of general, with not much specifics.  I can't really be more specific.  The fruity character is just kind of there.  While enjoyable for what it is, and I think I can see the appeal, just not among my favorites for Houston area IPA's.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">1,021 characters</span><br><br>","Oct 03, 2017",3.75,3.75,3.5,-10.4%,3.5,3.5,champ103
3.9,297885,,"Sep 23, 2017",4,4,4,-1.3%,4,3.75,HipCzech
2.89,125693,"Bottle poured into a BarrelHouse Brewing Co pint glass<br>
<br>
A: Pours super clear light golden straw with a kinda fizzy off white head that quickly settles to a thin layer and before you know it has disappeared, not really leaving any lacing. <br>
<br>
S: Sugary sweet, a little citrus, lemon, and a little light malt. <br>
<br>
T: Pretty sweet, like lemonade, with a pretty minimal malt presence. <br>
<br>
M: Medium body, moderate carbonation. <br>
<br>
O: Basically, it just tastes like lemonade soda. Nothing wrong with that, but I would prefer some more hop bitterness and malt presence to counter all the sweetness. Good choice to bring to a bbq for people who aren't beer fans.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">647 characters</span><br><br>","Sep 22, 2015",3.5,3,3,-0.7%,2.75,2.75,RyanK252
3.32,125693,,"Sep 12, 2015",3.25,3.75,3.25,,3,3.5,Beernoobie
3.19,125693,,"Sep 04, 2015",4,3.5,3,,3.25,3,StonedTrippin
3.69,125693,,"Aug 29, 2015",3.75,3.75,3.75,,3.5,3.75,DudMan
2.85,125693,,"Aug 23, 2015",2.5,3,3,-2.1%,3,2.75,vienna_mantrap
3,167395,,"Oct 03, 2017",3,3,3,-17.6%,3,3,jeschaefer
3.53,167395,,"Sep 24, 2017",3.25,3.75,3.5,-3%,3.25,3.75,CanadianGinge
3.25,93805,,"Aug 17, 2015",3.25,3.25,3.25,-3.8%,3.25,3.25,YeastEnthusiast
3.25,93805,,"Aug 15, 2015",3.25,3.25,3.25,-3.8%,3.25,3.25,rfreed
3.36,93805,,"Jul 21, 2015",3.25,3.5,3.5,-0.6%,3,3.5,Beardo
3.99,93805,,"Jul 07, 2015",4,3.75,4,,4,4,mikesubocz
3.25,93805,,"Jul 06, 2015",3.25,3.25,3.25,-3.8%,3.25,3.25,Rick778
3.5,93805,,"Jun 30, 2015",3.5,3.5,3.5,,3.5,3.5,NickThePyro
4.4,291421,,"Jul 13, 2017",4.25,4.25,4.5,,4.25,4.5,Texasfan549
4,253773,,"Apr 10, 2017",,,,,,,Hackattack
3.79,253773,"The brewer tells me this is more like a hopped down India Red Ale.<br>
Taste: Deep malt roasted rye like notes followed by spicy wet hops, clean finish. Malty spice nose. Dark copper color, mostly clear, tall tan head with sticky lace on glass. Medium body, almost full body. Crisp bite around 45 IBUs.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">298 characters</span><br><br>","Oct 22, 2016",,,,,,,BlackBeerPirate
3.83,252530,,"Oct 12, 2016",,,,,,,BlackBeerPirate
4.25,252531,,"Apr 10, 2017",,,,,,,Hackattack
3.93,252531,"Taste: Complex, roasted malt grains with a deep toasted hop bite. Balanced malt and hop and same with the nose.<br>
Black and mostly opaque, with an average size head and delicate lace to glass. Full but not heavy body. 65-70 IBUs.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">227 characters</span><br><br>","Oct 12, 2016",,,,,,,BlackBeerPirate
2.95,191044,,"Dec 03, 2015",,,,,,,bourassa23
4.31,297885,,"Sep 13, 2017",4.25,4.25,4.25,,4.5,4.25,Kuges
3.76,297885,,"Sep 08, 2017",4,3.5,3.75,-4.8%,3.75,3.75,Pro_Magnon
4.25,297885,,"Sep 06, 2017",4.25,4.25,4.25,,4.25,4.25,Can_has_beer
3.99,297885,,"Sep 06, 2017",4,3.75,4,,4,4,Texasfan549
4.06,297885,,"Sep 04, 2017",4,4,4,,4.25,4,n2pux
3.91,334530,"Reddish hue with a tan head.<br>
<br>
Smells like biscuits and dried fruit.<br>
<br>
Very malt forward and sweet taste as you would expect from this style. Similar to the nose but the dried fruit is not as strong and maybe some caramel notes.<br>
<br>
Very drinkable and tasty Scotch ale. It has a lot of flavor but doesn't feel as thick or heavy as this style can end up sometimes.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">358 characters</span><br><br>","Mar 24, 2018",,,,,,,twosheds
1.34,125693,,"Aug 15, 2015",1,2.75,1.25,-54%,1.75,1,travolta
3.01,125693,"12oz bottle, from a random grocery store in Sandpoint, Idaho.  Maybe a strange introduction to this brewery for me, but they was sellin' it, and I was buyin'.<br>
<br>
This beer pours a clear, bright medium golden yellow colour, with just a few teensy floaties, and one finger of puffy, loosely foamy, and mostly just bubbly dirty white head, which leaves some minor low-lying raincloud lace around the glass as things quickly settle.<br>
<br>
It smells of semi-sweet lemon and lime juice, bready pale malt, a soft stoney flintiness, and an ethereal and rather indistinct bitterness.  The taste is fairly sweet lemon/lime, perhaps a bit of those sugary candied orange slices for good measure, an underwhelmingly malty graininess, and a still hard to detect, wan, and let's just say leafy and earthy bitterness.<br>
<br>
The carbonation is pretty much inert for the most part, barely a frothy tickle to be bargained for, the body a so-so middleweight, but bolstered by that heady saccharine character, so of course it's smooth, smooth, smooth!  It finishes sweet, but on the downswing, as my palate, being North American, is now duly acclimatized, and I now find this not to be all that.<br>
<br>
Yeah, a simple fruit beer, one where the underlying brew is more or less obfuscated, in that it's hard to determine (or just not worth it) if it's even a lager or a blonde ale in there.  Kind of flat, overall, and not in the same league as the better domestic citrus radlers currently available, if you look around.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">1,479 characters</span><br><br>","Aug 08, 2015",3.5,3,2.5,,3.25,3,biboergosum
2.1,125693,,"Aug 06, 2015",3,3,2,-27.8%,1.75,2,LeGranFromage
3.93,125693,,"Aug 02, 2015",4,3.75,4,,3.75,4,jason_nwx
4.28,167395,,"Aug 01, 2017",4,4.5,4.25,,4,4.5,Maknex
3.72,167395,,"Jul 22, 2017",4,3.75,3.75,,3.5,3.75,WDJersey
3.93,167395,"Serving type: 12 oz can into a snifter glass. Paired with a burrito bowl.<br>
<br>
Pours a brilliant golden amber color with eggshell white bubbles that stick around. Smell is of caramel, slightly of toffee, along with a spice near the backend. Some citrus scents are prevalent as well. Taste reflects the smell. Initial caramel and toffee immediately lead into a citrusy hops bitterness, finishes with a lingering toffee taste. Feel is light, very refreshing for an amber ale. Overall, this is a really good amber ale that very refreshing. Going well with the California summer, way to make a boring style tasty!<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">605 characters</span><br><br>","Jun 02, 2017",4.25,5,4,,3.75,3.75,Reema
3.75,93805,,"Jun 29, 2015",3.75,3.75,3.75,,3.75,3.75,cherche
3.9,297885,,"Aug 25, 2017",4,4,4,-1.3%,4,3.75,kjkinsey
2.07,125693,,"Aug 01, 2015",1.75,2,1.75,-28.9%,3,1.75,chad_e_martin
3.21,125693,,"Jul 21, 2015",3.25,3.5,3.25,,3,3.25,Beardo
4,93908,,"Dec 13, 2015",4,4,4,,4,4,Beernoobie
3.87,93908,,"Sep 24, 2015",3.75,4,3.75,,3.75,4,BradExtreme
3.75,167395,,"Apr 15, 2017",3.75,3.75,3.75,,3.75,3.75,kjkinsey
3.5,167395,,"Jan 09, 2017",3.5,3.5,3.5,-3.8%,3.5,3.5,XsoldoutX
3.9,167395,,"Jan 02, 2017",3.75,3.75,4,,3.75,4,ilikebeer03
4.03,167395,"12oz can poured into a pint glass.  Date of 10/07/16.<br>
<br>
Appearance: Pours a clear, rich copper with 1/4 of head that leaves plenty of lace<br>
<br>
Smell: Toasted bread notes<br>
<br>
Taste:  Malty, bready notes leading to earthy hops in the finish<br>
<br>
Mouthfeel:  Medium body <br>
<br>
Overall:  This is a solid, well-balanced Amber.  This style can be a mess if not properly balanced.  Plenty of malt flavor with a clean finish.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">402 characters</span><br><br>","Nov 22, 2016",4.25,4.25,4.25,,3.75,4,Tuck_leepulin
3.67,93805,,"Jun 26, 2015",3.5,3,3.5,,3.5,4,grittybrews
3.8,93805,,"Jun 24, 2015",4,4,4,,4,3.5,WORfan
3.74,107941,,"Mar 04, 2017",3.5,4,3.75,,3.75,3.75,ManapuaMan
3.94,224536,,"May 09, 2016",,,,,,,LXIXME
3.79,224536,,"Apr 13, 2016",,,,,,,IRONRakkasan
3.58,252313,,"Jul 11, 2017",,,,,,,BarrelAgedG
3.75,297885,,"Aug 23, 2017",3.75,3.75,3.75,-5.1%,3.75,3.75,Gagnonsux
2.5,125693,,"Jul 14, 2015",2.5,2.5,2.5,-14.1%,2.5,2.5,BakaGaijin
2.54,125693,,"Jul 10, 2015",3,3,2,-12.7%,4,1.75,Brazenbookbug
2.98,125693,,"Jun 13, 2015",3,2.75,2.75,,2.75,3.25,TrueMetalJake
3.5,125693,,"Sep 28, 2014",,,,,,,MikeDAdams
3.5,125693,,"Sep 14, 2014",,,,,,,BeerNW
3.52,93908,,"Sep 20, 2015",3.5,3.5,3.5,-6.9%,4,3.25,IRONRakkasan
4.63,93908,,"Aug 01, 2015",5,5,4.75,,4.5,4.5,Shiek007
4.03,93908,,"Apr 25, 2015",3.5,4,4,,3.5,4.5,beerbart
3.75,93908,,"Mar 04, 2015",3.75,3.75,3.75,-0.8%,3.75,3.75,8BaconBits
4.54,93908,,"Feb 24, 2015",4.75,4,4.5,,4.25,4.75,snaxcat
3.66,167395,,"Oct 15, 2016",3.75,4,3.5,,3.5,3.75,aknalley
3.22,167395,,"Sep 27, 2016",3.25,2.75,3.25,-11.5%,3.25,3.25,Noooddle
3.49,93805,,"Jun 24, 2015",3,3.5,3.5,,3.25,3.75,arini10
4.03,93805,,"Feb 04, 2015",4.25,3.25,3.75,,4,4.25,semogolf1
2,93805,,"Nov 08, 2014",,,,-40.8%,,,i_Trav
2,93805,,"Nov 03, 2014",,,,-40.8%,,,Laklimell
3.33,107941,,"Sep 30, 2016",2.5,3,2.5,-8.8%,3.75,3.75,jooler
3,107941,,"Jul 26, 2016",3,3,3,-17.8%,3,3,largadeer
3.98,107941,,"Jul 05, 2016",3.75,4,4,,4,4,goopy
3.75,107941,,"Jun 06, 2016",3.75,3.75,3.75,,3.75,3.75,8BaconBits
3.81,107941,,"May 09, 2016",4,4.25,3.75,,3.75,3.75,LXIXME
3.61,252313,,"Oct 10, 2016",,,,,,,CJNAPS
3.71,93412,,"Mar 06, 2017",3.75,4,3.75,,3.5,3.75,2GOOFY
4.04,93412,,"Jun 20, 2016",4.5,4.5,4,,4.25,3.75,westcoastbeerlvr
3.76,93412,,"Feb 03, 2016",3.75,4,3.5,,3.5,4,mactrail
4.19,228941,,"Oct 10, 2016",,,,,,,sjrider
4.16,228941,,"May 09, 2016",,,,,,,LXIXME
1,125693,,"Sep 05, 2014",,,,-65.6%,,,camarocrazy67
2.44,125693,"Important note: After drinking this beer I discovered it had been recalled by 10 Barrel (viewable on their Facebook page) due to over carbonation. <br>
<br>
A - Lemon-amber. Extreme head erupts out of the glass even with a mild pour!<br>
S - Sweet, soft citrus<br>
T - Sugary sweet. A little tart like Cook's champagne. Sprite, apple juice, candied white grapefruit. Some light yeasty / breadyness on the end. Not nearly as sour as expected but there is a faint lactic zing present.<br>
M - Syrupy and fizzy. Very comparable to a sticky high fructose soda. <br>
O - Light but not refreshing, fruity but tastes artificial. Too similar to Smirnoff Ice for me.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">633 characters</span><br><br>","Aug 04, 2014",2,2,2,-16.2%,3,2.5,ChugMan
3.25,125693,,"Aug 03, 2014",,,,,,,JoelClark
3.6,199689,,"Dec 02, 2017",3.25,3.5,3.5,-6.7%,4,3.5,Tcsox
3.85,199689,,"Jun 09, 2017",3.75,3.75,3.75,-0.3%,3.75,4,Lone_Freighter
4.1,93908,,"Feb 23, 2015",4,4,4,,4,4.25,pat61
4,93908,,"Oct 11, 2014",,,,,,,bsumrell
3.56,93908,,"Sep 13, 2014",,,,-5.8%,,,MIrvine
3.75,167395,,"Sep 14, 2016",3.75,3.75,3.75,,3.75,3.75,puck1225
3.34,167395,,"Sep 07, 2016",3.5,3.5,3.5,-8.2%,3.25,3.25,Pro_Magnon
3.79,167395,,"Sep 01, 2016",4,4,3.75,,3.75,3.75,JamesStreet
2,93805,,"Sep 15, 2014",,,,-40.8%,,,zestd
3.97,107941,"Pours an opaque black with a foamy dark khaki head that settles to a partial film on top of the beer. Foamy swaths of lace form around the glass on the drink down. Smell is of dark roasted malt, cocoa powder, earth, char, and slight smoke aromas. Taste is much the same with cocoa powder, earth, char, and pine needle flavors on the finish. There is a medium amount of bitterness on the palate with each sip. This beer has a good level of carbonation with a crisp and dry mouthfeel. Overall, this is a pretty good beer with a very earth forward set of flavors. <br>
<br>
Serving type: bottle.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">584 characters</span><br><br>","Mar 07, 2016",4,3.5,4,,4,4,UCLABrewN84
2.61,107941,,"Feb 20, 2016",2.25,3,2.5,-28.5%,2.5,2.75,travolta
4.23,107941,"Pours a finger of tight tan head on a black body.<br>
The aroma is leather, spicy tobacco, coffee and a little chocolate. Really nice.<br>
The taste the taste is vanilla, wood, burnt wood, long dark chocolate finish.<br>
The texture is thicker and smooth.<br>
An amazing brew.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">260 characters</span><br><br>","Jan 14, 2016",4,5,4.25,,4.5,4,Fatehunter
5,90624,,"Feb 21, 2018",5,5,5,,5,5,Shiek007
3.6,90624,,"Feb 13, 2018",3.5,3.5,3.5,,3.5,3.75,RMW66
3,90624,,"Feb 03, 2018",3,3,3,-15.7%,3,3,sqpat
4.03,93412,,"Apr 16, 2015",4,3.75,4,,3.75,4.25,goldendenizen
2,93412,"I've revised my reviews down on all of my 101 North beers.<br>
<br>
I live in Petaluma; I've been drinking 101 North beers for years, even going to their tap room.  I've ordered it on tap from many locations around the north bay and watch the bar tender struggle with pouring a good glass.  The beers have been over-carbonated since the beginning, but I gave them the benefit of the doubt that it was just a one-time mistake from a small brewer, but it's been YEARS of this.  It's just poor brewing at this point and it's no longer acceptable.<br>
<br>
Additionally, every time I go to the tap room, they ONLY have Heroine and Golden Naked available for sale in bombers (or any size).  I've been a few times over the last 3 years, and there's never anything else for sale.  Either their tap room employees are clueless or the person running the business is.  <br>
<br>
Golden Naked is a good ale, but it's no longer amateur hour in the craft brew market.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">930 characters</span><br><br>","Mar 04, 2015",2,2,2,-43.5%,2,2,8BaconBits
4.08,93412,,"Feb 24, 2015",4.5,4.5,4,,4,4,Bali_hi
2.61,93412,,"Feb 23, 2015",2.5,4,3,-26.3%,3,2,Irvinator
4.13,199689,,"Apr 07, 2016",3.75,4.5,4,,4.5,4,Patlee3324
3.62,199689,,"Feb 15, 2016",3.25,3.25,3.5,-6.2%,3.75,3.75,Bogdawg
4.1,199689,,"Nov 16, 2015",4,4,4,,4,4.25,dental
1,93908,,"Sep 13, 2014",,,,-73.5%,,,KatatZbar
4.25,93908,,"Oct 02, 2013",,,,,,,markdirsa
3.5,93908,,"Sep 21, 2013",,,,-7.4%,,,dknight75
3.25,93908,,"Jul 05, 2013",,,,-14%,,,illidurit
4.13,167395,"Week old Can into standard American Pint Glass<br>
A: Clear, deep, burnt sienna copper with golden sunset highlights; 1/2 finger head dissipates to thin, sticky lacing. <br>
S: A mild herbal citrus tingle over a sweet bready, carmel-toffee foundation<br>
T: A clean, meandering sweet malt infancy maturing to support herbal hop midlife before a crisp citrus and a toffee tinged retirement. <br>
M: Peppery carbonation through melted butter that fades into a slightly sticy finish.  <br>
O: If you're going to brew in Texas, you gotta have an Amber on the wall.  I don't find ambers inspiring, but the good bear is the cleanest tasting execution in the state: with enough complexity yet approachability for the seasoned palette and the neophyte to enjoy at a backyard grill &amp; chill session - if it ever cools off.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">792 characters</span><br><br>","Aug 10, 2016",3.75,4.25,4,,3.75,4.5,mtbZack
3.56,167395,,"Jul 23, 2016",3.75,4,3.5,-2.2%,3.5,3.5,jngrizzaffi
3.67,233690,,"Apr 15, 2018",3.5,3.75,3.75,-2.1%,3.5,3.75,jayhunter357
3.5,191046,,"Sep 16, 2017",3.5,3.5,3.5,-5.7%,3.5,3.5,milkbone_underwear
3.75,191046,,"Jul 23, 2017",3.75,3.75,3.75,,3.75,3.75,jbarletto
4.31,107941,"Undated bottle at 42 degrees into snifter, allowed to warm to 48 degrees before tasting<br>
$ 7/bomber at Blackwell’s<br>
Aroma of roasted malt, molasses, and caramel<br>
Head average (three cm, aggressive pour), light brown, creamy with rocks, diminishing to <br>
Lacing excellent – complete wide rings of tiny bubbles<br>
Body dark brown/black with hint of red, opaque<br>
Flavor begins with a roasted malt light bitterness offset by some molasses sweetness, then the caramel begins to come in.  Hops are not noted in either the nose or flavor.  The initial harshness noted at 42 degrees is absent at the higher temperature.  No alcohol is present in either nose or flavor.  Diacetyl is absent.<br>
Palate full, creamy, soft carbonation<br>
<br>
Appearance 4.5, Aroma 4, Flavor 4.5, Palate 4.25, Overall 4.25<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">778 characters</span><br><br>","Oct 08, 2015",4.25,4.5,4.25,,4,4.5,Ozzylizard
3.86,107941,,"Jul 26, 2015",3.5,4,3.75,,4.25,3.75,sinodux
3.25,90624,,"Jan 15, 2018",3.25,3.25,3.25,-8.7%,3.25,3.25,stevoj
3.75,90624,,"Jun 22, 2017",3.75,3.75,3.75,,3.75,3.75,andyjeigh
3.31,232394,,"Jul 23, 2016",,,,,,,dental
