ba_score,beer_number,comment,date,feel,look,overall,rdev,smell,taste,username
3.57,125530,,"Dec 08, 2015",3.25,4,3.5,-0.3%,3.75,3.5,stevoj
2.5,125530,,"Sep 12, 2015",2.5,2.5,2.5,-30.2%,2.5,2.5,cantak
2.88,125530,"Large shared bottle pours near black with a decent head. <br>
The aroma is a bit woody, herbal and hoppy. <br>
The flavor is stronger and more bitter and hoppy than expected, with an overly bitter and burnt aftertaste. <br>
Smooth, full body.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">230 characters</span><br><br>","Jan 04, 2015",3.75,4,3,-19.6%,2.75,2.5,chinchill
3.77,95837,,"Apr 28, 2018",3.75,4,3.75,-4.8%,3.75,3.75,meatyard
3.5,95837,,"Apr 27, 2018",3.5,3.5,3.5,-11.6%,3.5,3.5,psoriasaurus
4.3,95837,,"Apr 26, 2018",4,4,4.5,,4,4.5,anotherpint
4.07,95837,,"Apr 12, 2018",4.5,4,3.5,,4.5,4,Gusengelhardt
4,95837,,"Apr 12, 2018",4,4,4,,4,4,paulish
3.75,95837,,"Apr 10, 2018",3.75,3.75,3.75,-5.3%,3.75,3.75,cbcrunch
3.54,95837,,"Mar 23, 2018",3.5,3.25,3.25,-10.6%,3.5,3.75,Aewachiw
4.67,95837,,"Mar 05, 2018",4.75,4.25,4.5,,4.75,4.75,shockwavecs
4,95837,,"Feb 17, 2018",4,4,4,,4,4,SGR1220
3.75,95837,,"Feb 10, 2018",3.75,3.75,3.75,-5.3%,3.75,3.75,VaporDome
4.15,95837,,"Feb 09, 2018",3.75,3.75,4.25,,3.75,4.5,FatSean
4,95837,,"Jan 28, 2018",4,4,4,,4,4,Vic333
3.72,95837,"12 oz. can:<br>
<br>
Pours lemon yellow with a head that disappears pretty quickly. Virtually no lacing. A little fizzy head and little lacing expected for the style.<br>
<br>
The smell is of yeast, mildly sour, fresh cucumber.<br>
<br>
The taste is of sour cucumber, though not in a pickled way. Salt comes through in the finish.<br>
<br>
A refreshingly light body. Fresh salted cucumber lingers.<br>
<br>
A unique novelty brew - Salted cucumber with mild sour yeast character. Refreshing.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">450 characters</span><br><br>","Jan 26, 2018",4,3.75,3.75,-6.1%,3.5,3.75,jwc215
4.25,95837,,"Jan 20, 2018",4.25,4.25,4.25,,4.25,4.25,Davit
3.59,95837,,"Jan 19, 2018",3.75,3.75,3.75,-9.3%,3.5,3.5,ordybill
4.37,223054,,"Jun 13, 2016",4.25,4.25,4.25,,4.75,4.25,LXIXME
3.75,223054,,"May 24, 2016",3.75,3.75,3.75,-6.5%,3.75,3.75,gruves33
3.94,223054,,"May 01, 2016",4,4,4,-1.7%,3.75,4,florisj135
4,223054,,"Apr 04, 2016",4,4,4,-0.2%,4,4,kylehay2004
4.43,95837,,"Jan 18, 2018",4,4,4.25,,4.75,4.5,DougieAmphetaBeans
4,95837,,"Jan 15, 2018",4,4,4,,4,4,Beerbuddha
4.75,95837,,"Dec 30, 2017",4.75,4,4.75,,4.5,5,Ahyeahelizabeth
3.53,95837,,"Dec 20, 2017",3.5,4,3.5,-10.9%,3.5,3.5,tone77
3.94,95837,,"Dec 10, 2017",4,4,4,-0.5%,3.75,4,drinkin-beeers
3.93,95837,,"Dec 09, 2017",4,3.75,4,-0.8%,3.75,4,AyatollahGold
3.54,323900,,"Feb 24, 2018",3.75,3.75,3.5,,3.5,3.5,BKotch
3.27,323900,,"Feb 20, 2018",3,3,3.25,-4.1%,3.5,3.25,jmg480
3.46,323900,"On-draught @ the brewery.<br>
<br>
Showcases the tropical character of Mosaic well but eschews its superior subtle blueberry note. Pale malts balance out any hop bitterness. Mango, dried guava, papaya, floral hop flavour.<br>
<br>
Nice depth of flavour.<br>
<br>
Mouthfeel is refreshing. Smooth, wet, well-carbonated.<br>
<br>
Drinkable and enjoyable, though its hop pungency could be improved. I'd definitely take this over Community's Mosaic IPA in terms of the local market, but if you're brewing a Mosaic hopped IPA in Texas you'll always be in the shadow of Lone Pint's Yellow Rose, and this doesn't quite measure up. Definitely worth trying, and a beer I'd revisit if offered in sixers at a fair price.<br>
<br>
B- / WORTHY<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">689 characters</span><br><br>","Feb 03, 2018",3.25,3.25,3.5,,3.5,3.5,kojevergas
3.38,323900,,"Jan 26, 2018",3.5,4,3.75,-0.9%,3.5,3,Dreynolds1808
3.99,95371,"Small growler of what looks like 32 oz., gifted by my wife. Slightly hazy golden body as poured from this take-out bottle into a pint. The head is nice and soapy in appearance, the lacing too. <br>
Actually tasty stuff. Hadn’t tried it before.<br>
It is malty, nicely balanced, and has a stinging characteristic that can be described as medicinal, but it’s flavorful to sip, just a well-made DIPA. When it seems it may end too dry, it doesn’t quite get that far. But it is a dry bite of a finish. The malt backbone does this one well. There’s that malty tea flavor I’ve come to like in DIPA malts, albeit an herbal tea in that sense. Normally not a spec I’d care for, but this works for me.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">694 characters</span><br><br>","Dec 31, 2017",3.75,4.25,4,,4,4,TBoneJones
3.75,95371,,"Dec 16, 2017",3.75,3.75,3.75,-5.5%,3.75,3.75,Beerucee
4.25,95371,,"Oct 25, 2016",4.25,4.25,4.25,,4.25,4.25,MaddDogg84
4.13,95371,,"Sep 30, 2016",4.25,4,4,,4,4.25,The_Epopt
4.15,220146,,"Oct 30, 2016",4.25,4.25,4.25,,4.25,4,sd123
2.25,220146,,"Jun 03, 2016",2.25,2.25,2.25,-36.1%,2.25,2.25,BGsWo22
4.15,220146,,"Mar 15, 2016",4.25,5,4,,4.25,4,MrHolden
4.03,170128,,"May 08, 2018",4,3.75,4,,3.75,4.25,Wizzle32
4,170128,,"May 08, 2018",4,4,4,,4,4,hozersr
3.84,170128,,"May 08, 2018",4,4,4,-3.3%,3.75,3.75,Wheels2532
3.75,170128,,"May 07, 2018",3.75,3.75,3.75,-5.5%,3.75,3.75,bdiiorio
3.5,95371,,"Jun 16, 2016",3.5,3.5,3.5,-11.8%,3.5,3.5,Karibourgeois
2.19,95371,,"Jun 03, 2016",2.25,2.75,2,-44.8%,2.5,2,BGsWo22
3.92,95371,,"Feb 13, 2016",4,4.25,4,-1.3%,4,3.75,amvrana
3.94,95371,,"Oct 25, 2015",4,4,4,-0.8%,3.75,4,Gagnonsux
4,95371,,"Sep 19, 2015",4,4,4,,4,4,Roybert
3.53,170128,,"May 05, 2018",3.5,4,3.5,-11.1%,3.5,3.5,CMEG
4,170128,,"Apr 29, 2018",4,4,4,,4,4,spongebob2
4.74,170128,,"Apr 21, 2018",4.75,4.5,4.75,,4.75,4.75,Bitburger
4.13,170128,,"Apr 15, 2018",4.25,4,4,,4,4.25,VAbrookiechaser
3.66,170128,,"Apr 13, 2018",3.25,3.75,3.75,-7.8%,4,3.5,hophugger
3.96,170128,,"Mar 28, 2018",3.75,3.75,4,-0.3%,4,4,Tnhalford
3.96,75401,,"Jan 07, 2018",3.75,3.75,4,,4,4,SierraFlight
3.75,75401,,"Jul 23, 2017",3.75,3.75,3.75,-0.8%,3.75,3.75,PA-Michigander
3.9,75401,,"Jul 22, 2017",3.75,3.75,4,,3.75,4,mattreitz49
4.09,75401,,"May 24, 2017",4.25,4,4,,4.25,4,Bunuelian
3.65,128073,,"May 06, 2018",3.75,3.75,3.75,-0.8%,3.75,3.5,maxmilan4
2.5,128073,,"Jun 03, 2016",2.5,2.5,2.5,-32.1%,2.5,2.5,BGsWo22
3.79,128073,,"May 11, 2016",3.5,3.5,3.75,,4.5,3.5,jkoogler
4.11,128073,,"May 08, 2016",4.25,3.75,4,,4,4.25,tubeyes
3.07,128073,,"Oct 07, 2015",3,3.75,3,-16.6%,3.5,2.75,puck1225
2.5,185312,,"Jun 03, 2016",2.5,2.5,2.5,-34.2%,2.5,2.5,BGsWo22
4.17,185312,,"Nov 15, 2015",4,4.25,4.25,,4,4.25,mig100
4.27,185312,,"Aug 08, 2015",4,4,4.25,,4.5,4.25,Texasfan549
3.69,61208,,"Mar 03, 2018",4,4,3.75,-6.6%,3.75,3.5,GarbageMan10
4.75,61208,,"Oct 02, 2015",4.75,4.75,4.75,,4.75,4.75,gilgar
4.19,61208,,"Sep 23, 2015",4,4.25,4.25,,4.5,4,pnelting
3.5,61208,,"Jan 14, 2015",3.5,3.5,3.5,-11.4%,3.5,3.5,jxc5
3,243036,,"Jan 07, 2017",3,3,3,-18.9%,3,3,Karibourgeois
3.5,243036,,"Oct 04, 2016",3.5,3.5,3.5,-5.4%,3.5,3.5,rspauldi
3.54,243036,,"Sep 10, 2016",3.75,3.75,3.5,-4.3%,3.5,3.5,Gagnonsux
3.75,243036,,"Aug 06, 2016",3.75,3.75,3.75,,3.75,3.75,BdM
4.71,243036,,"Aug 01, 2016",4.75,5,4.75,,4.5,4.75,gilgar
5,95371,,"Aug 21, 2015",5,5,5,,5,5,gilgar
3.53,43536,"On-draught @ the brewery.<br>
<br>
Well-executed. Soft wheat provides the foundation with leavening 2-row in there so it isn't gummy. Coriander spice is evident, harmonizing nicely with the estery Belgian yeast. Hints of cracked grains/grains of paradise. I get lemon peel but apparently grapefruit peel is utilized...I don't find it. Remarkably well-balanced.<br>
<br>
Depth of flavour could be improved, as could intricacy.<br>
<br>
Refreshing, smooth, and wet. A softer more delicate mouthfeel would help it rival the greats in the style.<br>
<br>
Devilishly drinkable, and a solid true to form beer in the style. It's not Allagash White, but it does rival if not best local competitor Celis White - and that may say it all. I'll definitely be revisiting this one.<br>
<br>
Low B / GOOD<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">749 characters</span><br><br>","Feb 03, 2018",3.25,3.5,3.75,-6.9%,3.5,3.5,kojevergas
3.5,43536,,"Jun 29, 2017",3.5,3.5,3.5,-7.7%,3.5,3.5,LennyBound
3.87,43536,,"Sep 10, 2016",3.75,4,3.75,,3.75,4,aknalley
4,43536,,"Jul 05, 2016",4,4,4,,4,4,chubenzino
3.82,54905,,"May 02, 2018",3.75,4,4,-7.7%,3.75,3.75,stewartea
4.18,54905,,"Mar 16, 2018",4.25,4,4.25,,4,4.25,puck1225
4.46,54905,"On tap at Pinthouse Pizza in Austin, TX.<br>
<br>
This one pours a fairly dark black color, with a small head, and not much lacing.<br>
<br>
This smells like earthy roasted pecans, vanilla, creamy coffee, oak, chocolate and roasted malt.<br>
<br>
There’s a little bit of whiskey flavor here and it’s nicely woven into the whole beer. There’s definitely some oak and vanilla, with a killer toasted pecan flavor- very roasty and nutty, with just a little bit of sweetness. The base is super chocolatey. There’s basically no boozy flavor at all.<br>
<br>
This is medium bodied, rich and creamy, with a good level of carbonation for the style.<br>
<br>
This is a really fun beer. It’s nice to have a good beer with a less common ‘adjunct’- you don’t see many pecan beers.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">743 characters</span><br><br>","Mar 15, 2018",4.25,4.25,4.5,,4.5,4.5,GreesyFizeek
4.25,54905,,"Dec 16, 2017",3.5,3.75,4.25,,4.25,4.5,mlanier
4.14,54905,,"Nov 09, 2017",3.75,4,4,,4.25,4.25,StonedTrippin
4,170128,"A-Pours a nice clear amber color with a slight head and nice lacing<br>
A-Aroma has nice resin and piney notes<br>
T-The taste follows the nose with resounding resin and piney flavors<br>
M-A light bodied well carbonated beer<br>
O-A very well balanced beer<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">241 characters</span><br><br>","Mar 25, 2018",4,4,4,,4,4,VABA
3.8,170128,,"Mar 19, 2018",3.5,3.5,4,-4.3%,3.5,4,hoppyhoppy
1.39,75401,,"Feb 09, 2017",1.25,3,1,-63.2%,2,1,Lebowskied
3.88,75401,,"Feb 05, 2017",3.25,4,3.75,,4,4,videofrog
4.27,75401,"25.4 oz. bomber poured into tulip<br>
(brewed Jan. 2015, bottled Sept. 2016 printed on label; also 8.5% ABV printed on label)<br>
<br>
L:  dark brown, clear, pushes up 1-inch head of beige foam on strong pour; it's dark and hard to see through but appears it may be clear ... crystal clear; dark amber-orange, burnt orange, almost into purple ... but, yes, it's light enough to see through it up to light, nice clarity; no major sticking or lacing but keeps a thick collar and most of a skin; about 10-15 minutes in, the skin disappears ... noticeably disappears ... but the collar is still hanging around; if this brew stuck and laced, it's be a candidate for a 5<br>
<br>
S:  tart toasted cranberries, fingernail polish remover -- those dominate, then way back there hiding in the shadows of the barn is a bit of previously wet grain sack now dried out ... not ""clean"" as in out of the washing machine clean, but clean as in it's not still wet and growing mold and mildew; might be the mildest but still distinct fingernail polish remover note I've come across -- it's *always* there, but it's never sharp or overpowering ... perhaps a better descriptor: lemon-raspberry<br>
<br>
T:  almost 1:1 following the nose with a minor adjustment -- a little more tart earthy flavor and toasted cranberries and a little less fingernail polish remover; as it warms and the palate adjusts, a bit of raspberry and blackberry, the more tart ones that haven't found their sweetness yet; as it warms more, some sweetness shows up just often enough to really make this tasty ... it's like those few grains of salt or sugar that bring out the flavors even more<br>
<br>
F:  lightweight but filled out by good carbonation ... very easy to sip but also easy to handle a midsize quaff; not watery but definitely light; perfect ... as good as my favorite American-made farmhouse ales and wilds with the bigger ABV in a lighter vessel<br>
<br>
O:  wonderful ... a treat of a beer for my particular tastes buds, for it's very reminiscent of a Flanders red or oud bruin with the nice toasted malt flavors blending into the sour flavors, and I love those styles and that mix; when those toasted cranberries offer up some sweetness, my goodness!  you get some raspberry/blackberry flavor and want to start drinking it like it's a 3% kriek lambic.  I will buy this beer over and over ... a perfect summer brew and a perfect ""sour"" fix whenever you want.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">2,384 characters</span><br><br>","Jan 15, 2017",5,4.25,4.25,,4,4.25,Premo88
4,75401,,"Nov 25, 2016",4,4,4,,4,4,Jame515
2.19,128073,,"Aug 21, 2015",2,4.5,1.5,-40.5%,4.25,1,gilgar
3.69,128073,,"Aug 01, 2015",3.75,3.75,3.75,,3.5,3.75,kjkinsey
4.1,128073,,"Jul 24, 2015",4,4,4,,4,4.25,ExaltedNecrosis
3.55,128073,,"Jul 02, 2015",3.5,4.25,3.5,-3.5%,3.5,3.5,Eddiehop
3.64,128073,,"May 24, 2015",4,4,3.5,-1.1%,3.75,3.5,Can_has_beer
3.62,128073,,"May 23, 2015",3.5,3.75,3.5,-1.6%,3.5,3.75,Taphouse_Traveler
4.25,185312,,"Aug 08, 2015",4.25,4.25,4.25,,4.25,4.25,kjkinsey
4.21,43536,,"Jun 20, 2016",4.25,4.5,4.25,,4,4.25,Samputnam14
4,43536,,"Apr 02, 2016",4,4,4,,4,4,Sweetdemonsweat
3.93,43536,,"Mar 24, 2016",3.75,4,3.75,,4,4,thatche2
3,43536,,"Jan 28, 2016",3,3,3,-20.8%,3,3,BGsWo22
4.21,43536,,"Dec 06, 2015",4,4,4.25,,4.25,4.25,Gagnonsux
4.21,54905,,"Oct 29, 2017",4,4,4.25,,4.25,4.25,SierraFlight
4.24,54905,,"Oct 19, 2017",4.25,4,4.25,,4.25,4.25,Futbolmanby
4.25,54905,,"Apr 26, 2017",4.25,4.25,4.25,,4.25,4.25,Davit
4.23,54905,,"Feb 06, 2017",4,4.25,4.25,,4.25,4.25,Evan
3.96,54905,,"Feb 06, 2017",3.75,3.75,4,-4.3%,4,4,GarbageMan10
3.6,170128,"Poured from a 12 oz bottle into  a Duvel tulip.  Past it's 'best by' courtesy of Wegmans.<br>
<br>
L:  Nearly clear golden pour.  2 fingers of foamy white head.  Solid lacing.<br>
<br>
S:  Caramel malts and fruity hops.<br>
<br>
T/F:   Malty... sweet caramel and toasted grains.  Citrusy hops...  tangerine and stone fruit.  Moderate bitterness....  light bodied.  A little sticky on the tongue.<br>
<br>
O:  A fairly average IPA.  Probably would have been better if tried fresh, so hard to criticize it too much.  Bitterness is there... a little sweet with the malts.  I'd definitely have it again.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">567 characters</span><br><br>","Mar 16, 2018",3.75,3.75,3.5,-9.3%,3.75,3.5,EMV
4.71,170128,"amber but not syrupy <br>
low wheaty or toasted flavors super important to me<br>
fresh high herbal citrus combo <br>
quintesential IPS<br>
consistent throughtout the year<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">155 characters</span><br><br>","Mar 14, 2018",5,4,4.75,,4.25,5,dpl101
3.83,170128,,"Feb 23, 2018",4,3.75,4,-3.5%,3.75,3.75,LarrysDeerGut
3.85,170128,,"Feb 20, 2018",3.75,3.75,3.75,-3%,3.75,4,LloydDobler
3.5,170128,"A; crystal clear; medium gold in color; 1 finger ivory head that receded to a wispy cap; light lacing;<br>
<br>
S: pineapple and a hint of coconut;<br>
<br>
T: follows the nose; mild bitterness on the finish;<br>
<br>
M: light to medium bodied; moderate carbonation; lightly dry finish;<br>
<br>
O: knowing what the hop bill of this beer is, I wasn't expecting the flavor and aroma that I got; too pina coladaish for me;<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">388 characters</span><br><br>","Feb 20, 2018",3.5,3.5,3.5,-11.8%,3.5,3.5,CTHomer
3.5,182131,,"Feb 22, 2018",3.5,3.5,3.5,-11.2%,3.5,3.5,NeverSettle
3.93,182131,,"Dec 06, 2017",4,3.75,4,-0.3%,3.75,4,HipCzech
2.71,182131,,"Sep 20, 2017",2.75,2.25,3,-31.2%,2.5,2.75,Dreynolds1808
3.65,84419,,"Feb 21, 2016",3.5,4,3.5,-13.3%,4,3.5,Dicers
4.19,84419,,"Nov 17, 2015",4,4,4.25,-0.5%,3.75,4.5,zonker17
3.97,84419,,"Nov 15, 2015",4.25,4,4,-5.7%,3.75,4,mig100
4.03,45617,,"May 02, 2018",4,4.5,4,-2.7%,4,4,stewartea
4.1,45617,,"Apr 18, 2018",4,4,4,-1%,4,4.25,tazzman
4.08,45617,,"Apr 01, 2018",4,4,4,-1.4%,3.5,4.5,heavydiscipline
4,45617,,"Mar 30, 2018",4,4.5,3.75,-3.4%,4.5,3.75,Jaker07
3.61,43534,,"Apr 23, 2018",3.75,3.25,3.5,-2.7%,3.5,3.75,Pro_Magnon
3.81,43534,,"Feb 24, 2018",4,3.5,4,,3.75,3.75,kkarimi
4.07,43534,"poured from 32 oz. half growler into tulip (half growler filled Saturday, Aug. 26, 2017, at Harvey Washbangers in Hurricane Harvey-induced downpour)<br>
<br>
L:  murky gold, about as dark as gold can get without adding amber, like a dull light bronze; pushes up late-percolating creamy head of foam about 3/4 to a full inch tall; keeps thick collar and most of a skin; light sticking, no lacing<br>
<br>
S:  hoppy ... green hops, grassy, a little lime ... citrus note is strong, grapefruit ... yes, as it warms, more and more grapefruit; biscuit malt under the thick layer of hops, very subtle<br>
<br>
T:  mix of grapefruit, generic citrus hop flavor with a more pronounced biscuit malt flavor, almost bready malt; hops are juicy and only lightly bitter and are really smoothed out by that malt sweetness; bitterness shows up in aftertaste, lingering grapefruit peel, almost earthy<br>
<br>
F:  ale soft, almost slick, feels a bit light but there's enough carbonation to add a piece of heft to it; not sure if it lost a lot of carbonation overnight in the half growler, but ... well ... how shall we say?  it's definitely an ale, not a lager (as it should be, no?)<br>
<br>
O:  lovely little hoppy beer, slightly soft mouthfeel but I could see some finding its velvety smoothness perfect; the grapefruit notes are spot on, and the light malt backbone is just enough to add a little sweetness<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">1,352 characters</span><br><br>","Aug 27, 2017",3.5,4,4,,4.5,4,Premo88
3.75,43534,,"Jul 09, 2017",3.75,3.75,3.75,,3.75,3.75,BdM
4.13,317972,,"Mar 23, 2018",4.25,4,4,,4,4.25,sd123
4.12,317972,"L: very light gold looking. Solid carbonation and nice lacing. <br>
S: Sweet white grapes, w/ little hope profile. non-grassy. Hints of pineapple or pear.<br>
Tastes: like carbonated wine with a crisp bitter finish.<br>
F: Easy to drink and something you might need to be in the mood for. <br>
O: very specific beer which is always great to dry. Wine lover will love this beer. Great switch up beer<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">382 characters</span><br><br>","Jan 24, 2018",4,3.25,4,,4.25,4.25,Anayalator
3.99,317972,,"Jan 04, 2018",4,4.5,4,-1.5%,4.25,3.75,ckeegan04
3.95,317972,,"Dec 21, 2017",4.25,3.75,4,-2.5%,3.75,4,Gagnonsux
4.87,324562,,"Mar 22, 2018",4.5,4.5,4.75,,5,5,Anayalator
4.22,324562,,"Feb 20, 2018",4.5,4,4.25,-4.7%,4.5,4,Dwreck
4.19,324562,,"Jan 30, 2018",4.25,4.25,4.25,-5.4%,4,4.25,Pro_Magnon
4,75401,,"Oct 30, 2016",4,4,4,,4,4,FLBeerGuy
3.88,75401,,"Oct 30, 2016",4,3.75,3.75,,3.75,4,Roybert
3.49,75401,,"Oct 07, 2016",3.25,3.75,4,-7.7%,3.5,3.25,Dreynolds1808
4.24,75401,,"May 26, 2016",4.25,4,4.25,,4.25,4.25,JamesStreet
4.22,75401,,"Feb 06, 2016",4.5,4.25,4.25,,4,4.25,Dka67
3.85,128073,,"May 22, 2015",3.75,3.75,3.75,,3.75,4,XicanoBeerRun
3.96,128073,,"May 02, 2015",3.75,3.75,4,,4,4,StArnoldFan
3.13,128073,,"Apr 13, 2015",2.75,3.5,3,-14.9%,3.5,3,mig100
2.5,43536,,"Nov 11, 2015",3.5,3,2.25,-34%,3,2,Can_has_beer
3.75,43536,,"Jul 04, 2015",3.75,3.75,3.75,-1.1%,3.75,3.75,Magery
3.47,43536,,"Apr 19, 2015",3.25,3.5,3.75,-8.4%,3.25,3.5,BoljaBoy52
3.75,43536,,"Feb 08, 2015",3.75,4.75,3.75,-1.1%,3.5,3.75,Kodiak1341
3.53,43536,,"Jan 26, 2015",3.5,4,3.5,-6.9%,3.5,3.5,buzzed
4.15,54905,"(512) Brewing Company ""Whiskey Barrel Aged Double Pecan Porter""<br>
on tap @ Craft Pride, Austin, TX on 5 November 2015<br>
$5.50 / 6.5 oz.<br>
<br>
Notes: Listed at 8.2% ABV... not sure what year it is. The barrel actually brings out the pecan in comparison to the regular, unless of course there's actually double pecans in use - I tasted them side by side. Bourbon and oak are found in the aroma along with a mild dark roastiness. The flavor follows with an additional touch of fruit and chocolate and milky coffee; and then finishes with fruit, cocoa, a hint of alcohol (Bourbon) and coconut. Medium bodied with a median carbonation. It's unlike any beer I've ever tasted, and I've had other pecan beers before. Was it worth the cost? Probably when you consider that it's a beer you sip at rather than just drink down; and that there are added costs in the ingredients (mainly the pecans) to get it to where it is. In any case it's unique, and probably worth trying based on that alone, but I'd suggest you look for the standard version as well so that you can compare the two.<br><br><i class=""fas fa-align-left""></i> <span class=""muted"">1,065 characters</span><br><br>","Jan 20, 2017",4,4,4.25,,4,4.25,NeroFiddled
4.27,54905,,"Jan 19, 2017",3.75,3.5,4,,4.5,4.5,rorjets
4.13,54905,,"Dec 31, 2016",4.25,4,4,-0.2%,4,4.25,kkarimi
3.85,170128,,"Feb 18, 2018",3.75,3.75,3.75,-3%,3.75,4,Qwest_35
4.04,170128,,"Feb 10, 2018",4.25,4.25,4,,4,4,kinmundy77
3.79,170128,,"Feb 04, 2018",4,4,3.75,-4.5%,3.75,3.75,ummswimmin
3.56,170128,,"Jan 30, 2018",3.5,3.5,3.5,-10.3%,3.75,3.5,TheIPAHunter
4.02,170128,,"Jan 22, 2018",4,4.25,4,,4,4,TheBeerMaster1
4.04,182131,,"Aug 03, 2017",4.25,3.5,4,,3.75,4.25,Pro_Magnon
3.75,182131,,"Jul 30, 2017",3.75,3.75,3.75,-4.8%,3.75,3.75,bundy462
3.83,182131,,"Jun 29, 2017",4,3.75,4,-2.8%,3.75,3.75,kkarimi
3.25,182131,,"Mar 12, 2017",3.25,3.25,3.25,-17.5%,3.25,3.25,zbooks
4.06,182131,,"Dec 07, 2016",4,4,4,,4.25,4,sd123
4.28,45617,,"Mar 07, 2018",4.75,4.25,4.25,,3.75,4.5,maxmilan4
4.7,45617,,"Mar 01, 2018",4,4.5,4.75,,4.5,5,Snillorr
4.26,45617,,"Feb 21, 2018",5,5,4,,4,4.25,Cvescalante
4.13,45617,,"Feb 11, 2018",4,4.25,4.25,-0.2%,4.25,4,ColSanders123
4.03,45617,,"Feb 03, 2018",4.25,4,4,-2.7%,4,4,hcproff36
3.6,43534,,"Feb 13, 2017",3.5,3.5,3.5,-3%,3.5,3.75,sd123
3.5,43534,,"Jan 07, 2017",3.5,3.5,3.5,-5.7%,3.5,3.5,Karibourgeois
4.15,75401,,"Dec 29, 2015",4,4,4.25,,4,4.25,BKotch
3.93,75401,,"Dec 06, 2015",4.25,4,4,,4,3.75,4DAloveofSTOUT
